CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
274	4.79017	1.92308	0.112284	0.0662485	0.0387591	-40.1631	159.491	-155.32	-36.1445	160.058	-153.13
275	7.50179	1.56685	0.18824	0.0885951	0.229898	-37.276	115.738	-218.533	-33.1793	111.327	-217.55
276	21.6914	1.52022	0.127159	-0.635359	0.0458694	-37.276	115.738	-218.533	-35.3841	100.455	-232.426
277	19.1869	1.52082	0.07497	0.301661	0.0124562	-26.8722	111.083	-207.467	-27.9544	92.1775	-206.737
278	6.91884	1.50816	0.118883	0.0587687	0.0559201	-26.8722	111.083	-207.467	-20.9208	108.369	-207.085
279	5.72229	1.41089	0.180615	-0.234431	0.0488393	-34.145	114.955	-179.921	-33.6004	113.678	-174.644
280	6.3736	1.52555	0.143165	0.17068	0.075214	-34.145	114.955	-179.921	-28.6155	113.051	-178.954
281	22.2173	1.47094	0.107142	0.38776	0.141775	-42.4584	118.277	-182.084	-43.0932	99.4876	-177.065
282	10.5081	1.58942	0.142669	-0.687796	0.0816702	-42.4584	118.277	-182.084	-44.3182	112.135	-174.79
283	11.141	1.45059	0.0861164	0.00352015	0.0332958	-30.6961	115.972	-190.964	-32.0155	107.172	-184.875
284	4.64837	1.49419	0.165201	0	0.0727476	-30.6961	115.972	-190.964	-28.6555	112.714	-192.963
285	19.5621	1.50056	0.157226	0.258601	0.0173725	-61.7428	159.465	-261.705	-74.1681	157.477	-276.244
286	23.2165	1.53247	0.13031	-0.0936716	0.0542716	-61.7428	159.465	-261.705	-54.5215	177.97	-271.21
287	21.5207	1.61693	0.114136	-0.176485	0.0397261	-67.8922	144.798	-252.718	-81.5929	130.454	-258.63
288	13.3506	1.71983	0.138082	-1.2492	0.0327169	-67.8922	144.798	-252.718	-75.9607	142.917	-262.642
289	45.6819	1.58615	0.0880175	-0.0525838	0.0133663	-75.1408	166.769	-246.946	-114.813	178.898	-264.586
290	26.9776	1.55396	0.140234	-0.493824	0.0897979	-75.1408	166.769	-246.946	-87.5955	182.804	-261.108
291	7.53418	1.54081	0.132397	0.512581	0.0394299	-66.4475	166.221	-237.804	-72.0639	170.743	-237.059
292	5.45439	1.48292	0.20478	0.749111	0.0628589	-66.4475	166.221	-237.804	-62.5948	168.118	-240.615
293	14.5087	1.54506	0.126611	0.263006	0.0878658	-73.5171	149.166	-228.541	-85.0511	148.062	-221.936
