CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
357	1.42814	12.4616	0.167712	0.171477	0.0791458	-92.9992	232.438	-210.99	-94.5334	241.027	-218.555
358	1.5315	22.1496	0.0954827	-0.132453	0.0275247	-92.9992	232.438	-210.99	-91.5536	253.818	-213.334
359	1.76032	9.20791	0.0951166	0.19516	0.0156078	-69.1982	200.81	-198.681	-70.1846	209.327	-195.735
360	1.5843	54.1977	0.102253	0.0691199	0.0838383	-70.1846	209.327	-195.735	-79.1383	258.504	-197.167
361	1.54468	8.67118	0.155291	0.619338	0.0320596	-70.1846	209.327	-195.735	-67.1227	216.577	-192.794
362	1.63286	14.355	0.111788	-0.487175	0.0342775	-75.1737	202.513	-227.99	-80.1765	211.817	-236.993
363	1.5244	14.1968	0.0997646	0.235847	0.0218041	-80.1765	211.817	-236.993	-89.3489	220.833	-242.247
364	1.42478	13.7562	0.138492	0.274042	0.0772154	-80.1765	211.817	-236.993	-79.4305	221.528	-245.251
365	1.74534	16.2226	0.0711375	-0.0540106	0.0181645	-55.5271	202.475	-171.02	-54.2788	218.108	-168.205
366	1.54456	33.9479	0.094741	0.232368	0.0531605	-54.2788	218.108	-168.205	-62.9912	249.093	-169.956
367	1.55413	30.2138	0.0626666	-0.32059	0.0341387	-50.3209	201.542	-164.408	-41.7966	219.797	-143.249
368	1.52999	28.3547	0.139646	-0.295134	0.159027	-41.7966	219.797	-143.249	-32.9461	242.31	-146.9
369	1.5196	5.6286	0.135625	-0.111458	0.0254838	-36.9458	160.215	-153.903	-36.1405	163.251	-149.402
370	1.43956	3.33959	0.166828	0	0.0159005	-36.1405	163.251	-149.402	-37.6157	162.142	-146.682
371	1.51476	38.7633	0.127634	-0.232024	0.0700392	-36.1405	163.251	-149.402	-34.9752	199.286	-145.873
372	1.53134	15.3425	0.113536	0.00713092	0.0332623	-52.7704	141.74	-148.576	-54.7634	127.482	-144.94
373	1.48571	11.483	0.122343	0.476793	0.0223023	-54.7634	127.482	-144.94	-54.6752	117.622	-150.321
374	1.51686	16.5646	0.111292	-0.123811	0.021975	-58.5756	151.963	-153.32	-68.2716	141.765	-145.276
375	1.52768	19.8616	0.10564	-0.121903	0.019861	-68.2716	141.765	-145.276	-67.9144	123.281	-139.155
376	1.53433	16.7993	0.128571	-0.128809	0.146122	97.0406	176.766	-216.225	111.515	179.021	-215.718
377	1.3941	4.41711	0.175849	-0.330038	0.0225091	111.515	179.021	-215.718	111.876	179.356	-211.426
378	1.49949	7.55039	0.167682	0.0430411	0.030662	111.515	179.021	-215.718	118.796	179.569	-216.303
379	1.64088	17.8458	0.0827504	-0.854611	0.024282	85.258	194.114	-217.451	99.2954	204.417	-218.044
380	1.56435	14.7754	0.115066	-0.100952	0.0327482	99.2954	204.417	-218.044	107.363	216.175	-216.885
381	1.39374	10.547	0.153333	-0.169178	0.0534492	107.363	216.175	-216.885	109.172	223.031	-223.953
382	1.45274	9.30847	0.0987805	-0.601621	0.023653	107.363	216.175	-216.885	107.121	223.596	-211.635
383	1.55909	17.1863	0.110042	-0.148435	0.0529394	99.2954	204.417	-218.044	112.896	206.046	-226.92
384	1.53646	11.11	0.0908511	0.403417	0.0305905	112.896	206.046	-226.92	123.293	206.285	-229.758
385	1.54683	5.24672	0.204668	-0.39794	0.0411553	112.896	206.046	-226.92	113.554	206.204	-231.913
386	1.75491	9.58471	0.114146	0.968485	0.0307988	65.1187	155.112	-238.955	73.5317	151.881	-241.244
387	1.58578	5.84387	0.123969	-2.97848	0.017227	73.5317	151.881	-241.244	78.515	152.002	-238.388
388	1.40452	5.07697	0.20162	0.572104	0.0388288	78.515	152.002	-238.388	81.3627	148.868	-235.947
389	1.53968	14.6443	0.109008	0.0344782	0.0423871	78.515	152.002	-238.388	91.8463	156.174	-239.884
390	1.73287	20.4407	0.0713311	0.0302058	0.0190957	73.5317	151.881	-241.244	92.5007	148.644	-246.902
391	1.53823	11.2942	0.130566	-0.278237	0.041885	92.5007	148.644	-246.902	101.888	143.549	-245.052
392	1.59535	39.942	0.0879132	0.0490033	0.0505016	92.5007	148.644	-246.902	123.934	149.052	-268.289
393	1.9134	17.7028	0.0709721	-0.193027	0.0248444	53.5005	150.18	-234.642	67.0042	142.449	-242.142
394	1.6565	33.8231	0.0711268	-0.017271	0.0155959	67.0042	142.449	-242.142	92.6651	130.103	-259.411
395	1.58141	15.0916	0.0788008	0.17094	0.0228955	92.6651	130.103	-259.411	102.628	120.419	-264.374
396	1.49758	19.6467	0.106447	0.214793	0.0287698	92.6651	130.103	-259.411	107.471	128.544	-271.372
397	1.81857	10.7732	0.081562	-0.225776	0.024331	67.0042	142.449	-242.142	71.8555	133.143	-241.453
398	1.61468	27.5917	0.0667764	-0.156351	0.0186096	71.8555	133.143	-241.453	94.8207	118.96	-239.178
399	1.61735	32.7724	0.06611	0.0206048	0.0249957	71.8555	133.143	-241.453	80.4099	104.214	-252.048
400	1.62821	22.5423	0.0975559	-0.144546	0.0233471	42.5391	134.465	-206.271	41.4736	112.595	-203.861
401	1.41832	20.9487	0.139535	-0.525076	0.043695	41.4736	112.595	-203.861	42.1792	99.0374	-189.078
402	1.54768	21.9483	0.107285	0.114916	0.0449775	41.4736	112.595	-203.861	40.5811	91.6121	-204.1
403	1.6119	5.74782	0.121979	0.285285	0.0182292	39.0203	142.462	-208.794	34.0999	143.786	-211.223
404	1.4901	7.13265	0.131088	1.07692	0.01387	34.0999	143.786	-211.223	28.4808	140.106	-213.315
405	1.54163	6.21578	0.18677	-0.65419	0.0238154	34.0999	143.786	-211.223	30.728	148.783	-211.94
406	1.59771	18.8369	0.0871986	-1.19851	0.0247668	39.5485	124.665	-222.535	38.5712	107.444	-228.887
407	1.52131	21.6293	0.11838	-0.25567	0.0227044	38.5712	107.444	-228.887	39.2928	86.7345	-224.657
408	1.47071	16.1548	0.129672	0.437871	0.0232405	38.5712	107.444	-228.887	38.9393	95.1923	-238.838
409	1.68243	15.9978	0.0757314	-0.150787	0.0165059	58.8259	124.7	-217.324	61.8941	110.13	-212.226
410	1.53118	8.12314	0.121232	-0.0154773	0.0353103	61.8941	110.13	-212.226	66.5984	104.885	-208.773
411	2.14194	4.32979	0.0679819	0	0.0067979	57.9633	185.028	-174.195	58.0704	189.039	-172.649
412	1.71588	23.588	0.069863	0.166033	0.01333	58.0704	189.039	-172.649	55.9534	206.159	-157.018
413	1.58626	15.8836	0.0840706	0.314727	0.0229742	55.9534	206.159	-157.018	48.6856	216.937	-148.528
414	1.50856	10.8827	0.143317	0.026106	0.056676	48.6856	216.937	-148.528	41.9133	224.219	-151.206
415	1.55473	7.22461	0.156393	0.675657	0.0316677	48.6856	216.937	-148.528	44.1092	219.491	-143.883
416	1.58036	25.1181	0.108149	-0.192008	0.0349604	55.9534	206.159	-157.018	62.1559	228.415	-149.59
417	1.44449	7.99432	0.155501	-0.598499	0.0316433	62.1559	228.415	-149.59	61.7096	232.822	-143.231
418	1.48569	7.66646	0.13455	-0.104213	0.0340219	62.1559	228.415	-149.59	62.6382	235.229	-152.473
419	1.8769	9.71794	0.110095	0.192202	0.0227072	58.0704	189.039	-172.649	58.987	198.193	-175.028
420	1.71771	27.1638	0.072517	-0.164531	0.0132055	58.987	198.193	-175.028	64.1122	224.502	-174.447
421	1.53403	11.8377	0.0994725	1.47607	0.019933	64.1122	224.502	-174.447	70.89	233.923	-174.53
422	1.52389	28.8141	0.101504	-0.0919639	0.0398568	64.1122	224.502	-174.447	58.4046	250.341	-182.668
423	1.65881	5.12222	0.166825	0.334276	0.0291859	58.987	198.193	-175.028	55.7971	200.789	-177.831
424	1.54413	4.02854	0.0746688	0	0.00521767	55.7971	200.789	-177.831	54.2406	204.162	-176.328
425	1.52592	4.08039	0.206545	0	0.027056	55.7971	200.789	-177.831	54.3329	200.778	-181.525
426	1.62582	20.2208	0.0812928	0.321694	0.0146944	-54.2788	218.108	-168.205	-47.1371	236.702	-167.579
427	1.474	5.09041	0.156398	0.160456	0.023896	-47.1371	236.702	-167.579	-50.0098	240.086	-169.817
428	1.58969	5.79677	0.125892	-0.167516	0.023969	-41.7966	219.797	-143.249	-42.9515	224.355	-140.097
429	1.44237	9.30587	0.181097	0.345321	0.0446451	-42.9515	224.355	-140.097	-43.1915	229.373	-132.74
430	1.56014	14.7348	0.099945	-0.210021	0.0184317	-42.9515	224.355	-140.097	-42.7937	238.822	-139.995
431	1.50199	22.8664	0.0767044	0.0738173	0.0344149	-38.8482	151.944	-147.158	-30.4204	140.619	-130.146
432	1.54266	24.3865	0.0863852	0.278075	0.0196769	-30.4204	140.619	-130.146	-27.5702	117.617	-124.254
433	1.50224	11.7532	0.124268	0.81206	0.0309306	-27.5702	117.617	-124.254	-26.5303	108.08	-130.413
434	1.41899	8.01705	0.11593	0.158616	0.0131623	-27.5702	117.617	-124.254	-27.3829	111.899	-118.787
435	1.45192	19.0554	0.144963	1.16904	0.0384318	-30.4204	140.619	-130.146	-22.0747	137.274	-114.15
436	1.50052	9.58658	0.14116	0.61625	0.0463069	-22.0747	137.274	-114.15	-20.8812	128.236	-113.232
437	1.47908	13.5826	0.0633257	0.183095	0.0147325	-22.0747	137.274	-114.15	-21.9624	148.697	-107.173
438	1.55506	8.06331	0.0484438	-0.565918	0.0040366	-54.7634	127.482	-144.94	-54.3185	122.361	-138.77
439	1.54536	13.683	0.107868	-0.532208	0.0267622	-54.3185	122.361	-138.77	-54.2812	119.047	-125.863
440	1.53229	11.4452	0.0962575	0.135571	0.0365868	-68.2716	141.765	-145.276	-78.7807	141.654	-141.892
441	1.45386	7.5479	0.105717	-0.813064	0.0207055	-78.7807	141.654	-141.892	-78.7536	135.237	-138.217
442	1.56997	11.1222	0.120004	-0.0504983	0.0364478	-78.7807	141.654	-141.892	-89.2786	139.429	-141.863
443	1.78504	11.099	0.101236	0.0995855	0.0373965	67.0947	159.405	-243.484	75.8341	158.754	-249.621
444	1.65171	35.592	0.0618852	0.0144172	0.00722192	75.8341	158.754	-249.621	109.38	169.584	-252.083
445	1.51305	13.1818	0.112005	0.612968	0.0399917	75.8341	158.754	-249.621	80.509	154.157	-260.468
446	1.71633	10.4734	0.0920538	-0.469684	0.028849	67.0947	159.405	-243.484	61.8369	166.219	-248.921
447	1.50025	17.3431	0.135851	-0.133384	0.0731387	61.8369	166.219	-248.921	50.9015	170.359	-260.077
448	1.65958	10.4958	0.119611	0.0352417	0.0324579	61.8941	110.13	-212.226	60.8956	100.128	-210.707
449	1.50286	28.1938	0.107198	-0.155525	0.0663748	60.8956	100.128	-210.707	56.9854	74.5772	-216.263
450	1.53764	9.14185	0.100404	-0.374177	0.0170112	-47.1371	236.702	-167.579	-41.8724	243.837	-166.107
451	1.45941	8.3424	0.130178	0.238363	0.0187818	-41.8724	243.837	-166.107	-41.5156	250.575	-161.467
452	1.4778	17.3392	0.142777	-0.0521412	0.0719257	-41.8724	243.837	-166.107	-37.7566	257.976	-172.801
453	1.53507	16.9281	0.114099	-0.253257	0.0777873	-54.3185	122.361	-138.77	-54.3178	109.489	-129.77
454	1.56694	7.45717	0.101462	-0.316135	0.0173899	-54.3178	109.489	-129.77	-54.5114	102.219	-128.854
455	1.51439	12.6136	0.128975	-0.850027	0.0292695	-54.3178	109.489	-129.77	-54.3494	107.292	-117.713
456	2.1863	4.49801	0.0844504	0	0.0118429	55.2351	141.526	-249.381	55.9351	140.756	-253.703
457	1.79077	18.6872	0.0713805	-0.169243	0.0288554	55.9351	140.756	-253.703	50.0429	136.604	-270.375
458	1.64543	9.75966	0.0855758	-0.455939	0.0130125	50.0429	136.604	-270.375	46.1935	143.677	-275.664
459	1.50499	17.3707	0.121233	0.0850139	0.0198609	46.1935	143.677	-275.664	37.1005	146.294	-289.826
460	1.52317	23.5983	0.144576	-0.0596257	0.15867	46.1935	143.677	-275.664	36.9599	157.949	-286.883
461	1.78823	7.87906	0.0943464	-0.870652	0.0101275	50.0429	136.604	-270.375	50.6375	132.142	-276.745
462	1.6113	15.6523	0.119247	-0.138758	0.0362367	50.6375	132.142	-276.745	48.5114	118.437	-282.73
463	1.87294	17.0098	0.0638022	0.142638	0.0224325	55.9351	140.756	-253.703	65.727	132.901	-264.621
464	1.69108	20.8068	0.0594391	-0.184129	0.0201696	65.727	132.901	-264.621	71.992	116.809	-275.473
465	1.59367	14.4343	0.091698	-0.257082	0.0257443	71.992	116.809	-275.473	79.4627	105.058	-277.506
466	1.75594	14.8244	0.080168	0.632724	0.0284233	65.727	132.901	-264.621	74.5724	129.604	-275.515
