source_filename,sha256,manufacturer,page_count,pages_with_candidates,candidate_count,ordering_heading_pages,matrix_pages,high_risk,review_method,accepted_new_products,existing_exact,existing_alias_or_format_variant,previously_accounted_csv,duplicate_source_occurrence,needs_owner_review,relevant_but_insufficient_identity,relevant_family_level_only,source_evidence_conflicted,irrelevant_to_current_scope,not_a_product_identifier
C_T_PTISGI2_REV0 (1).pdf,1b90cad951bd117880a4d2a1707cb15e62b885d58ee46fcc82b4ff18c0c378eb,Cook Medical,80,57,13,0,6,true,corpus_text_extraction,0,0,0,0,13,0,0,0,0,0,0
C_T_PTISGI2_REV0.pdf,1b90cad951bd117880a4d2a1707cb15e62b885d58ee46fcc82b4ff18c0c378eb,Cook Medical,80,57,13,0,6,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,13
C_T_THAL_REV11.pdf,8514889c9a8b2a2cdfb63475eee388f5fc0648ac956ff0b08deb77fd2e32f68c,Cook Medical,28,6,10,2,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,10
Compact multi-parameter monitor - CHARTIS - pulmonX - CO2 _ VO2-max _ intensive care.pdf,f8c36d0989168f0742bb22bc9ccd6e4bf748a3286219e2994bada9848811c9cc,Pulmonx,5,5,2,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,2
D-000010790-REV0-1-1033736-REV1-Adapt-Endoscopic-Ultrasound-Aspiration-Needle-Instructions-f.pdf,69292cf142ac8bb5d8b0e5317c0e3da1046c7aaef10c322734c00f93d89d7d15,Micro-Tech Endoscopy,12,5,15,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,15
Diagnostic Bronchoscope (BF-P190) _ Olympus America _ Medical.pdf,59e6605a409faa67d4a755f7a4f4ba2be71e3beccb660bfcf446f1d702e00bde,Olympus,3,3,2,0,0,false,corpus_text_extraction,0,1,0,0,0,0,0,1,0,0,0
Diagnostic Bronchoscope (BF-XP190) _ Olympus America _ Medical.pdf,9dc88432c37cf1a552bd8ee0fb8ae0a416e52bfc9dada6857cea10ee67329e1c,Olympus,2,2,4,0,0,false,corpus_text_extraction,0,1,0,0,0,0,0,1,0,0,2
E0428710_Diagnosis_SPN_Flyer_EN_2023.pdf,c7a946339c4bcaa7232796382c478fc669c59b33675c5fcebb586f2cfd901756,Olympus,2,2,30,1,2,true,corpus_text_extraction,0,17,0,0,0,5,0,0,0,0,8
EB-J10 Bronchoscopes_ Advanced High-Definition imaging.pdf,9fe10b3508e880b503cb2ab94985b8fbb1e1ed5641e36ed99353e7ad3a156065,PENTAX Medical,8,8,2,0,0,false,corpus_text_extraction,0,0,0,1,0,0,0,0,0,0,1
EBUS Needles - Thoracent.pdf,32ffedf490a4e605a4288371c5bda566cb7aa3829e50cab0e2bc98a809e71999,Thoracent / Micro-Tech Endoscopy,4,1,6,0,0,false,corpus_text_extraction,0,6,0,0,0,0,0,0,0,0,0
EFER-BRONCHOSCOPE-USER-MANUAL.pdf,ec44e4be7d4ffe87fb7809b4a0c211d6206980203b75bae16acb958642cf92fe,Hood Laboratories / EFER,13,6,77,1,3,true,corpus_text_extraction,0,40,0,0,0,36,0,0,0,0,1
ESC-D63441-EN-F_M3_1643214583953.pdf,1454964cce5d7a6ffcbb12786786d04da81c12394fee5ce3d9c71a4b1459b5d1,Cook Medical,2,1,65,1,1,true,corpus_text_extraction,0,8,0,8,0,49,0,0,0,0,0
EchoTip Ultra® Endobronchial HD Ultrasound Needle _ Cook Medical.pdf,726cea6e686e34ec06a4917f444196fa69f3302241dc5d8ca1096cd89e5b3a0e,Cook Medical,9,5,12,4,1,false,corpus_text_extraction,0,4,4,0,0,0,0,0,0,0,4
Endobronchial Ultrasound (EBUS) scopes - FUJIFILM Healthcare Americas Corporation.pdf,7338c512f285317d876693961ed2be1bf186ca63d1ac577ac05df02d02f99f47,FUJIFILM Healthcare Americas Corporation,12,8,12,0,3,true,corpus_text_extraction,0,2,0,0,0,0,0,0,0,0,10
Excalibur-Laser-Fiber-Brochure-2025.pdf,7651358e2a95b362b5e0f06ce5bd2e4c3792e71445d1d2317ad0cd0d6adcbe42,Not stated in source,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
ForTec-Medical-OmniGuide-Laser-Product-Brief.pdf,fea3af75234fe42fcf8dc61ac915a245f6f4cab1fd8c9faaf6f4d5b654f6d0a8,OmniGuide / ForTec Medical,2,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
Fuhrman Pleural_Pneumopericardial Drainage Set and Tray _ Cook Medical.pdf,a6e89a5bd063938799f92f94eaac6e3e79071b5f11cacce14e2498d696237f5b,Cook Medical,18,11,20,15,0,true,corpus_text_extraction,0,9,0,9,0,0,0,0,0,0,2
Fujifilm_EUS Brochure_03_2025_EN.pdf,f14c0b0fe52c7c64b35680ef22187c92347e323508dd1e7f6e09937cd0d65bec,FUJIFILM,22,11,15,1,3,true,corpus_text_extraction,0,1,0,6,0,0,0,0,0,2,6
Fujifilm_EndoSolutionsPulmonology_2023_EN_144dpi.pdf,176807374ba022287434dbcfceffd39ee259514775e7032a97c73188258a61bc,FUJIFILM,48,24,74,3,17,true,corpus_text_extraction,0,16,0,0,0,0,0,0,0,0,58
Hydro-Slide Pulmonary Guidewire - Thoracent.pdf,5b0d87be792a4f095113e67e059325166cfe77bc8d6d807e5530f8d9a8d1e639,Thoracent / Micro-Tech Endoscopy,2,1,2,0,0,false,corpus_text_extraction,0,2,0,0,0,0,0,0,0,0,0
IFU-Chartis-Pulmonary-Assessment-System-Catheter-100-0714-Revision-C-Released-2025-12-18.pdf,3b7cad49c9d5cbe5c1a559228e9faaa3a82b6dc7ad7b2afebb1e008974e8055d,Pulmonx,68,67,34,17,18,true,corpus_text_extraction,0,2,0,0,0,0,0,0,0,0,32
Karl Storz.pdf,19c485f6502f5f02362a51af7fd870cf7141a1843d1aab4cc10c62b39c41aef0,Karl Storz,314,96,208,23,13,true,corpus_text_extraction,0,36,0,30,142,0,0,0,0,0,0
LungVision® System _ AI-Powered Lung Imaging Technology.pdf,5c39024633304987f138f115fae22e2f9ea0b572dbd79d0bcf961f27b7c6182d,Body Vision Medical,9,0,0,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,0
Mobile C-arm machine - Cios Spin - Siemens Healthineers USA.pdf,b943087cbf757b1fae8d237de982fb09df57497764825bf190b9c72334a8e20e,Siemens Healthineers,15,4,6,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,6
NOV-MR-PCA-EWS_EN.pdf,89cf6c1d3cbf3e96cc5b29dc7659869d48897ca333459396c6eddfaf8259acf6,Novatech,8,3,8,1,0,false,corpus_text_extraction,0,4,0,0,0,0,0,0,0,0,4
NOV-MR-PCA-Instruments_CA003_EN.pdf,7fa900901eff1d0a8361e48c896a277cb12d0818b47ffa0c3e596af401fcec4c,Novatech,24,6,47,6,2,true,corpus_text_extraction,0,46,0,0,0,0,0,0,0,0,1
NOV-MR-PCA-SS3_NOVATECH_3D_EN.pdf,6a870e75329f46994b309bdaed08b532925c8be5458ff6a3658031d7cc612b1a,Novatech,12,6,9,0,1,false,corpus_text_extraction,0,0,0,1,0,0,0,0,0,0,8
NOV-MR-PCA-SST_DUMON-GSS_CA001_EN.pdf,221993773bfbb7cc04cd06af935f7d55dfb1f2b17f3b97e56191665cf38b87f5,Novatech,20,6,153,3,3,true,corpus_text_extraction+rendered_manual_inspection,141,7,0,0,0,0,0,0,0,0,5
NOV-MR-PCA-STE_STERITALC_EN.pdf,640c57f14637b3e23569c2f86008f45da0b583d20f2eacba017726c8f940393f,Novatech,16,6,21,1,3,true,corpus_text_extraction,0,4,0,3,0,0,0,0,0,0,14
NdYAG_2026_EUR_260417.pdf,23a569ae658fa5e7f2e923478d24626aa23b8f08321d7a03c8e9e69ecbe2b4be,Not stated in source,34,27,627,0,17,true,corpus_text_extraction,0,0,0,0,0,0,0,0,0,627,0
Netis Retrieval Net - Pulmonary - Thoracent.pdf,922bae372d5b91ba6c53a2afe1ddc25d503f6e85e9d9b5c52612951410d77167,Thoracent / Micro-Tech Endoscopy,4,1,1,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,1
OAIET0124CAT51005_EndoTherapy Catalog_Interactive_2024.pdf,959a4442c78e4af11616d06b57070e90f1c5c16a0f80b925f0ad21b3dd0f45c3,Olympus,133,117,640,5,27,true,corpus_text_extraction,0,66,0,5,0,5,7,0,0,557,0
OAIGI0121CAT38678_RA.pdf,ff852032810c925c26bedea91b02f2fd11444eb6cbec1fd692f3afb81198f2d6,Olympus,90,52,239,4,22,true,corpus_text_extraction,0,24,0,46,0,0,0,0,0,169,0
OEC-3D_Brochure.pdf,46f04a599763b63c573aeea66b460e0cedd010d59a438cfb50e22d88e3f9ad14,GE HealthCare,11,2,3,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,3
PleurX™ Pleural Catheter System.pdf,30ee73d17f0db77007bdb01d85b6aad578de2386d88a7f71581b29d05ec275e7,BD / CareFusion,4,2,6,2,1,false,corpus_text_extraction,0,6,0,0,0,0,0,0,0,0,0
Product-Catalog-MPW10000H-Rev-3-web-1.pdf,c09a4558a697d6722ff99ce7c2e2cda0f8dfa78107be3f4bb06ca8650a050597,Micro-Tech Endoscopy,80,57,777,9,50,true,corpus_text_extraction,0,0,0,2,0,0,0,0,0,775,0
Quanta-Laser-2025 (1).pdf,a1f9ef2e9ee296bd1ea43daf556f6e9c6bfe2f14303bbf75cca1adbdd5d3a377,Quanta System,2,1,1,0,0,false,corpus_text_extraction,0,0,0,0,0,0,0,0,0,0,1
Richard Wolfe.pdf,fb8e5bc743c8b1f7efaddaa3da5eb8a2530ccd9a070282f353301d7aa84c0c74,Richard Wolf,122,120,278,22,7,true,corpus_text_extraction,0,78,0,0,0,40,0,0,0,0,160
Scivita-Single-Use-Bronchoscope-Brochure.pdf,594df2891eb8ae70d766bf6ec2679ee94132887ea13b15f54fd3feb5eca31942,Scivita Medical Technology,4,2,11,1,1,false,corpus_text_extraction,0,7,0,0,0,0,0,0,0,0,4
Search - Empyema and pleural effusion _ KARL STORZ Endoskope _ Cyprus.pdf,b68075249dbe31c7ea03fef36bf26830be1f4004d6a05dcaab84fb850f0db1b7,KARL STORZ,11,5,5,6,0,false,corpus_text_extraction,0,5,0,0,0,0,0,0,0,0,0
Search - Flexible bronchoscopy _ KARL STORZ Endoskope _ United States.pdf,f66161e4c5ab6b203573f5d4df09a901b2614cd30d47bfe5833672c649751903,KARL STORZ,14,5,5,8,0,false,corpus_text_extraction,0,2,0,0,0,3,0,0,0,0,0
Search - Medical thoracoscopy _ KARL STORZ Endoskope _ United States.pdf,9307c0cf30d1e869b480317b1fd4df14308cba38bf4cfa0b539ea8244fc3d62b,KARL STORZ,8,3,3,3,0,false,corpus_text_extraction,0,3,0,0,0,0,0,0,0,0,0
Search - Pleurodesis _ KARL STORZ Endoskope _ Cyprus.pdf,70b2df6f19d5f98e0dfe6b97c480aa4c0c72812bcb71e96212b32801c269d1d7,Karl Storz,6,2,2,3,0,false,corpus_text_extraction,0,2,0,0,0,0,0,0,0,0,0
