product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-83DE1D08C4,Richard Wolf,Bronchoscope Sealing Cap for 4/3.4/2.7 mm Telescope,8021.18,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-882E06A5A9,Olympus,"Single-Use Pulmonary Biopsy Forceps, Alligator Jaw-Step",FB-211D.A,Sampling,Pulmonary biopsy forceps,forceps_instrument,Forceps and hand instruments,flexible_biopsy_forceps,Flexible biopsy or grasping forceps,high,false,pair_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-89259B5C28,Novatech,DUTAU NOVATECH Lateral Cap - 0.8 mm,02BRD9153,Rigid bronchoscopy,Lateral cap,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-8A19FB9627,Karl Storz,HUZLY Suction Tube 4 mm x 50 cm,10434A,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-8A4A27BDD7,Intuitive Surgical,Ion Flexision Biopsy Needle 21G,490103,Peripheral bronchoscopy,Robotic bronchoscopy biopsy needle,needle,Needle,robotic_biopsy_needle,Robotic bronchoscopy biopsy needle,high,false,pair_rule,ROBOTIC_BIOPSY_NEEDLE,
PRD-8D0C9F35DB,Karl Storz,Full Lumen Operating Tracheoscope,10318G,Rigid bronchoscopy,Full-lumen rigid bronchoscope/tracheoscope,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-8DDD9F07C0,Boston Scientific,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515181,Sampling,Biopsy forceps,forceps_instrument,Forceps and hand instruments,flexible_biopsy_forceps,Flexible biopsy or grasping forceps,high,false,pair_rule,BIOPSY_FORCEPS_FLEX,FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT|THERAPEUTIC_BRONCH
PRD-901A1A1C5C,Richard Wolf,"Parenchyma Grasping Forceps, Curved",8243.604,Medical thoracoscopy,Thoracoscopy instrument,forceps_instrument,Forceps and hand instruments,thoracoscopy_hand_instrument,Thoracoscopy hand instrument,high,false,pair_rule,THORACOSCOPY_BIOPSY_FORCEPS,MED_THORACOSCOPY
PRD-913352C891,ERBE,Wire Basket for ERBECRYO 2 Cart,20180-010,Therapeutic bronchoscopy,Cart accessory,cryotherapy,Cryotherapy device,cryotherapy_accessory,Cryotherapy system accessory,high,false,pair_rule,CRYO_SYSTEM_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-91BFC52CEC,Richard Wolf,HEMER Tracheoscope Tube Bundle,8214.1281,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-921CB1B912,Karl Storz,Sponge Holder 35 cm,10385B,Rigid bronchoscopy,Rigid bronchoscopy accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-924AFC41F8,Richard Wolf,TEXAS Bronchoscope Tube ID 9.2 mm,82520.0641,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-934DA56D92,Karl Storz,Puncture Needle for Histology,10435A,Rigid bronchoscopy,Rigid bronchoscopy biopsy needle,needle,Needle,rigid_biopsy_needle,Rigid bronchoscopy biopsy needle,high,false,pair_rule,RIGID_BRONCH_PUNCTURE_NEEDLE,
PRD-93C248AE98,Novatech,DUTAU NOVATECH Axial Cap - No opening,02BRD9101,Rigid bronchoscopy,Axial cap,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-952A7B928E,Novatech,SURVAC PC Suction Catheter,77642SC,Rigid bronchoscopy,Suction catheter,suction_irrigation,Suction or irrigation device,flexible_suction_catheter,Flexible suction catheter,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-96993E6593,Richard Wolf,"Endobronchial Resector, Curved Smooth",825610446,Rigid bronchoscopy,Rigid bronchoscopic shaver instrument,powered_shaver,Powered shaver or debrider,shaver_instrument,Shaver resector instrument,high,false,pair_rule,RIGID_BRONCH_SHAVER,RIGID_BRONCH
PRD-97B68B1ECE,Richard Wolf,Illumination Insert,8217.12,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
