product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-D794E57FFE,Teleflex,Pleur-evac CONNECTOR INFANT,PE103,Pleural procedures,Chest drainage accessory,pleural_drainage,Pleural drainage device,pleural_drainage_accessory,Pleural drainage accessory,high,false,pair_rule,PLEURAL_DRAINAGE_ACCESSORY,
PRD-D7A7620198,Karl Storz,"Suction Catheter 5 Fr, Pack of 6",10478D,Endoscopy platform,Rigid suction catheter accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,name_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-D7F9A3A5D0,ERBE,"APCapplicator, Rigid, 100 mm, Needle Electrode",20132-253,Therapeutic bronchoscopy,APC applicator,electrosurgical,Electrosurgical or APC device,rigid_apc_applicator,Rigid APC applicator,high,false,pair_rule,APC_APPLICATOR_RIGID,RIGID_BRONCH
PRD-D81F566A09,Novatech,DUTAU NOVATECH Axial Cap - 3.9 mm,02BRD9103,Rigid bronchoscopy,Axial cap,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-D826F63F9A,Boston Scientific,Acquire Pulmonary EBUS Fine Needle Biopsy Device,M00552351,Sampling,EBUS FNB needle,needle,Needle,ebus_fnb_needle,EBUS fine-needle biopsy needle,high,false,pair_rule,EBUS_NEEDLE_FNB,EBUS_TBNA
PRD-D85D52F0CD,ERBE,"Monopolar Connecting Cable, VIO/ICC/ACC, Standard, 4 m, for Pencil/Hook",20192-127,Therapeutic bronchoscopy,Monopolar cable,electrosurgical,Electrosurgical or APC device,electrosurgical_cable,Electrosurgical connecting cable,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D8651BEFDB,Novatech,DUMON BB Bronchial Stent,026201S20,Airway stent,Silicone BB stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-D92BDB1551,Micro-Tech Endoscopy,Micro-Tech Fully Covered J-Shaped Tracheal Stent,ST02-974-16.040,Airway stent,J-shaped self-expanding metallic airway stent,airway_stent,Airway stent,sems_j_shaped,J-shaped self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-D99A37C035,Richard Wolf,PANOVIEW PLUS Telescope,8934.4434,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-D9A63C6C45,ERBE,"APCapplicator, Rigid, 350 mm, Needle Electrode",20132-255,Therapeutic bronchoscopy,APC applicator,electrosurgical,Electrosurgical or APC device,rigid_apc_applicator,Rigid APC applicator,high,false,pair_rule,APC_APPLICATOR_RIGID,RIGID_BRONCH
PRD-D9E0F4748B,Teleflex,Pleur-evac ADULT-PEDIATRIC DRY/ WET,A-6000-08LF,Pleural procedures,Chest drainage unit,pleural_drainage,Pleural drainage device,chest_drainage_unit,Chest drainage unit,high,false,pair_rule,GENERIC_DRAINAGE_UNIT,
PRD-DA286027ED,ERBE,One-Pedal Foot Switch for ERBECRYO 2,20402-200,Therapeutic bronchoscopy,Foot switch,cryotherapy,Cryotherapy device,cryotherapy_accessory,Cryotherapy system accessory,high,false,pair_rule,CRYO_SYSTEM_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-DA3218ED45,ERBE,"Monopolar Connecting Cable, Standard, 4 m, for Olympus 3 mm Snares",20192-119,Therapeutic bronchoscopy,Monopolar cable,electrosurgical,Electrosurgical or APC device,electrosurgical_cable,Electrosurgical connecting cable,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-DA34CBFF14,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 3, 26 cm",10339EE,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-DA396EF06D,ERBE,"Bipolar Adapter, MF Socket / MF2 Plug for VIO 300 D",20183-100,Therapeutic bronchoscopy,Bipolar adapter,electrosurgical,Electrosurgical or APC device,electrosurgical_adapter,Electrosurgical adapter,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-DA4769A595,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 3, 18.5 cm",10339E,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-DA69A8016A,Novatech,DUMON TD Silicone Airway Stent,03081S,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-DA7ECBAE41,Merit Medical,TAPS Thoracentesis and Paracentesis Set — TAPS-100,TAPS-100,Pleural procedures,Thoracentesis set,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-DA836B059E,Merit Medical,AERO DV Direct Visualization Tracheobronchial Stent,90129-318,Airway stent,Covered SEMS,airway_stent,Airway stent,sems_fully_covered,Fully covered self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-DAA7B0A0DF,Merit Medical,BasixCompak Digital Inflation Device,ENDO-DI2030,Airway dilation,Inflation device,balloon_dilation,Balloon dilator or inflation device,balloon_inflation_device,Balloon inflation device,high,false,pair_rule,INFLATION_DEVICE,THERAPEUTIC_BRONCH
PRD-DADAA6184C,Karl Storz,"TONN Stent Applicator 9-12 mm, max 6 cm",10550,Endoscopy platform,Silicone stent applicator,implant_delivery,Implant delivery device,stent_applicator,Silicone stent applicator,high,false,pair_rule,STENT_APPLICATOR,RIGID_BRONCH
PRD-DADEAB2B83,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M22 Single-Use Flexible Bronchoscope,BR-M22,Bronchoscopy platform,Single-use flexible bronchoscope,bronchoscope,Bronchoscope,single_use_video_bronchoscope,Single-use video bronchoscope,high,false,pair_rule,FLEX_SCOPE_SINGLE_USE,
PRD-DB022C1FE8,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 6, 40 cm",10339AL,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-DB10C3EACC,Merit Medical,AEROmini Fully Covered Tracheobronchial Stent,AERO615,Airway stent,Covered SEMS,airway_stent,Airway stent,sems_fully_covered,Fully covered self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-DB63DF1DF0,Butterfly Network,Butterfly iQ3 Charger Kit – Type A,900-20030-00,Ultrasound platform,Ultrasound probe charger,ultrasound_device,Ultrasound device,ultrasound_accessory,Ultrasound accessory,high,false,pair_rule,GENERIC_ULTRASOUND,CHEST_TUBE|IPC_PLACEMENT|MED_THORACOSCOPY|PERC_TRACH|THORACENTESIS
PRD-DB7366704E,Karl Storz,Round Spoon Biopsy Forceps,10367L,Rigid bronchoscopy,Rigid bronchoscopy forceps/scissors,forceps_instrument,Forceps and hand instruments,rigid_forceps,Rigid bronchoscopy forceps or scissors,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-DB755221C4,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 3.7, 30 cm",10339G,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-DB99B2DA8B,ICU Medical,Bivona Mid-Range Aire-Cuf Adult Tracheostomy Tubes 6,750160,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-DB9A48291E,Novatech,GSS TD Tracheal Stent,01TD1850,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-DBC74C33F6,ICU Medical,Portex BLUselect Suctionaid Tracheostomy Tube Kits 7,101/875/070,Airway management,Subglottic suction tracheostomy tube,tracheostomy_tube,Tracheostomy tube,subglottic_suction_tracheostomy_tube,Subglottic suction tracheostomy tube,high,false,pair_rule,TRACH_TUBE_EVAC,
PRD-DBCBF4AF27,Novatech,DUMON TD Silicone Airway Stent,04141S,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-DBEAA70E14,Novatech,GSS BD Bronchial Stent,01BD1060,Airway stent,Silicone BD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-DBEEFE82FF,Novatech,GSS TD Tracheal Stent,01TD1340,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-DC2568EC2B,ICU Medical,Bivona Cuffless Adult Tracheostomy Tubes 7,60A170,Airway management,Cuffless tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffless_tracheostomy_tube,Cuffless tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFLESS,
