Category,Image_url,Image Description,article_title,article_url,license,license_url,attribution
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/417f/3140038/191e04872ec4/DTE2011-845686.001.jpg,CXR/CT – Lobar Obstruction,Successful Bronchoscopic Cryorecanalization in a Case of Endobronchial Lipoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC3140038/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/09f4/12393873/2b37ad682dac/cureus-0017-00000091116-i06.jpg,Fluoroscopy – ICG‑Soaked Coil Deployment,Dual Indocyanine Green (ICG)-Soaked Coil Placement for the Precise Localization of a Non-subpleural Peripheral Lung Nodule: A Modified Technique in a Case Report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12393873/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/c424/11182144/95383fdecae4/cureus-0016-00000062532-i02.jpg,PET – Pulmonary Nodule,Breaking New Ground in Interventional Pulmonology: Integrating Cone Beam CT and Robotic-Assisted Bronchoscopy for High-Risk Pneumothorax in Peripherally Located Solitary Pulmonary Nodules,https://pmc.ncbi.nlm.nih.gov/articles/PMC11182144/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/e837/11477479/02df49c5a888/jcm-13-05954-g034.jpg,PET – LLL mass,Abstracts of the Italian Society of Thoracic Endoscopy (SIET) 2024 Annual Congress,https://pmc.ncbi.nlm.nih.gov/articles/PMC11477479/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/3368/10415654/ced6ac481153/gr1.jpg,"PET/CT/Clinical – Mediastinal mass with tracheal compression (Ultraflex stent deployment, post-CTA)",Tracheal stenting by rigid bronchoscopy in right lateral decubitus position in an awake patientâ˜†,https://pmc.ncbi.nlm.nih.gov/articles/PMC10415654/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/f9de/12366983/3a3fed7a8e29/medi-104-e43807-g002.jpg,"PET-CT – Abnormal cartilage metabolism (thyroid, tracheal, rib cartilage)",Bridging silicone and metallic stents for tracheobronchial stenosis in relapsing polychondritis: A case report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12366983/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/550a/11259392/c7375364a889/ac9-11-e01404-g001.jpg,CT – Airway stent migration to stomach,Tracheal Stent Ingestion: Unveiling Complications and Innovations in Management,https://pmc.ncbi.nlm.nih.gov/articles/PMC11259392/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/87ae/7046663/5de9a3041e4c/41598_2020_60566_Fig1_HTML.jpg,CT – Atelectasis/ventilation change pre/post stent,Clinical outcomes of self-expandable metallic stents for malignant obstructive atelectasis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7046663/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a0ac/6287240/3bf32633720c/RCR2-7-e00396-g002.jpg,"CT – Bilateral SEMS (pre/post comparison, coronal views with patent stents)",Management of malignant carinal involvement using ‘side‐by‐side’ method of bilateral self‐expandable metallic stents,https://pmc.ncbi.nlm.nih.gov/articles/PMC6287240/
Imaging,https://cdn.ncbi.nlm.nih.gov/pmc/blobs/a0ac/6287240/d0c6af5a7a44/RCR2-7-e00396-g003.jpg,"CT – Bilateral SEMS cases (multiplanar reconstruction, five patients)",Management of malignant carinal involvement using ‘side‐by‐side’ method of bilateral self‐expandable metallic stents,https://pmc.ncbi.nlm.nih.gov/articles/PMC6287240/
