product_id,manufacturer,product_name,catalog_number,prior_visibility_state,verification_grade,market_status,market_confidence,safety_display,safety_action_scope,safety_reference_codes,status_recommendation_gate,role_count,authored_option_count
"PRD-1905FD9828","Karl Storz","Optical Alligator Forceps for Hard Foreign Bodies","10350HF","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-190EC613D0","Karl Storz","Forceps for Peanuts/Soft Foreign Bodies","10372KL","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-19BAA6E1D6","ERBE","FiAPC plus Probe 3000 A with Filter","20132-323","hidden","verified_source","current_status_unverified","moderate","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-19D03D9B14","ERBE","Bipolar Connecting Cable, Martin Standard, 4 m","20196-047","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-19D27430DB","Teleflex","Arrow-Clarke Pleura-Seal Thoracentesis Set","CS-01000","hidden","verified_source","current_status_unverified","low","safety_identity_review_required","family_level","","review_required","1","1"
"PRD-19DEF7AEC5","FUJIFILM SonoSite","SonoSite L15-4 Transducer","L15-4","hidden","verified_source","current_status_unverified","low","safety_status_unverified","","","review_required","1","5"
"PRD-1B9BB00FC8","Olympus","OFP-2 Irrigation Tubing","MAJ-1652","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","0"
"PRD-1BD0F9BD70","ERBE","Pressure Reducer with Sensor for APC 2/APC 3, BS 341 No. 3","20134-003","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-1C70287572","Karl Storz","Rigid Instrument Guide with Anti-Fog System","10329A","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1C81CBF06E","Richard Wolf","Endobronchial Resector, Curved","825620446","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1CA81E960D","Karl Storz","Universal Forceps","10371U","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1CCEDCCC76","Cook Medical","Simple Pneumothorax Aspiration Accessory Set","G05297","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
"PRD-1CFFD3C377","Karl Storz","Suction Tube","10380AK","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1D87D6EA1E","Teleflex","Arrow Percutaneous Cavity Drainage Kit – Curved","AK-01600","hidden","verified_source","current_status_unverified","low","active_safety_notice","lot_specific","Z-2382-2026","blocked_active_safety_action","2","6"
"PRD-1DCE96086D","Richard Wolf","WOLF Bronchoscope Tube Bundle","8214.1021","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","1"
"PRD-1DDAD96A7B","ERBE","Bipolar Connecting Cable, Standard, 4 m, for BiSect Scissors","20196-106","hidden","verified_source","current_status_unverified","low","no_exact_action_found_as_of_snapshot","","","clear","1","2"
