product_id,role_code,role_fit,notes
PRD-A93BE6938D,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-F1632F4CEC,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-D03502FFB4,CRYO_SYSTEM_ACCESSORY,Primary,
PRD-9CAAE08C97,ENERGY_CABLE_ADAPTER,Primary,
PRD-5CD3FA131B,ENERGY_CABLE_ADAPTER,Primary,
PRD-55D98AAFB1,ENERGY_CABLE_ADAPTER,Primary,
PRD-FD3915EF93,CHEST_TUBE_SURGICAL,Primary,
PRD-36D0F6CBA0,CHEST_TUBE_SURGICAL,Primary,
PRD-27CF357590,CHEST_TUBE_SURGICAL,Primary,
PRD-2CE58D8A14,CHEST_TUBE_SURGICAL,Primary,
PRD-1CBA97E863,CHEST_TUBE_SURGICAL,Primary,
PRD-3D91F04C91,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-5CCBBDD4CF,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-0EA2B293A4,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-B05D337994,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-3AAC1114C7,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-AF93E56FE5,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-A504350406,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-087FFD6337,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-758E53CAAF,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-D0E745FF62,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-6707AC67D1,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid bronchoscope barrel
PRD-F1D5F37924,RIGID_BRONCHOSCOPE_BARREL,Primary,
PRD-E6A1370266,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid bronchoscope barrel
PRD-D273A067EA,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid bronchoscope barrel
PRD-99F825C44F,RIGID_BRONCHOSCOPE_BARREL,Primary,
PRD-5D0F775ADC,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid bronchoscope barrel
PRD-F146CD24CF,RIGID_BRONCHOSCOPE_BARREL,Primary,
PRD-B99F53FBC5,RIGID_BRONCHOSCOPE_BARREL,Exact,Full-lumen rigid bronchoscope/tracheoscope
PRD-F96DCD2AC6,RIGID_BRONCHOSCOPE_BARREL,Exact,Full-lumen rigid bronchoscope/tracheoscope
PRD-71D13E3955,RIGID_BRONCHOSCOPE_BARREL,Primary,
PRD-8D0C9F35DB,RIGID_BRONCHOSCOPE_BARREL,Exact,Full-lumen rigid bronchoscope/tracheoscope
PRD-33120D5BE2,RIGID_BRONCHOSCOPE_BARREL,Exact,Full-lumen rigid bronchoscope/tracheoscope
PRD-06D2F10782,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-1EEDD71C53,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-EC45CB0F5D,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-0FD6CC7A8E,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-BB9A5CC0AE,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-6274807854,RIGID_TELESCOPE,Exact,Rigid bronchoscopy telescope
PRD-1C70287572,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-BC16136731,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid tracheoscope
PRD-CA32599DA2,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid tracheoscope
PRD-2110EC2BCF,RIGID_BRONCHOSCOPE_BARREL,Exact,Rigid tracheoscope
PRD-3CF45A4BFF,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Rigid bronchoscope accessory
PRD-1905FD9828,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-A9183C4F8F,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-50DCC12BE8,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-10B24D66DD,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-2274F20402,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-B540AFF326,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-E56FC05269,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-4A98F07FC6,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-EB01698273,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-2DACCAD2B4,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-E02F46CDAD,RIGID_FORCEPS,Exact,Optical rigid bronchoscopy forceps
PRD-2BC12F8AEF,RIGID_BRONCHOSCOPE_ACCESSORY,Exact,Steerable rigid bronchoscopy instrument
PRD-615CDFB8AB,BIOPSY_FORCEPS_FLEX,Exact,Steerable rigid bronchoscopy instrument
PRD-F9A98419EA,BIOPSY_FORCEPS_FLEX,Exact,Steerable rigid bronchoscopy instrument
PRD-60ED7DF50E,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-4A023D6489,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-0F34939AF6,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-DF239FD803,THORACOSCOPY_SCISSORS,Exact,Rigid bronchoscopy forceps/scissors
PRD-011BE58B2D,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-7BC31438E7,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-354ECD3DC4,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-DB7366704E,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-698F9E72B0,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-B4CA5FDE98,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-90A0B83AA5,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-C649B4B9C5,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-ABB6EC1153,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-17C3809F8C,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-79E356AFDC,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-38F9E96675,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-6CCE68D268,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-AC1E0D8CCC,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-1E613C92C3,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-D07AD62770,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-02641F9166,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-7A57FE10A2,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-843BE1E573,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-1CA81E960D,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-1E339ED4FF,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-BB5D8FBEA3,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-9A5C5FEF7D,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-694417C2F5,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-FF130FCDC6,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-190EC613D0,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-C48BF25736,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-2FACCCFC02,RIGID_FORCEPS,Exact,Rigid bronchoscopy forceps/scissors
PRD-277D52B6BC,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-1CFFD3C377,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-1411E60176,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-E09A4CA6E0,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-9BD2C36817,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-33C62E2093,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-C00C2E4E80,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-2644647C19,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-C64D0F8310,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-B2AC1ECC92,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-B728AA11AB,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-2522C4A9A6,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
PRD-0FECB0AD06,RIGID_SUCTION_CATHETER,Exact,Rigid suction catheter
